Position_race,Abbreviation,DriverNumber_race,TeamName_race,GridPosition,Status,IsFinished,RetirementCategory,IsWetRace,Year,Round,Position_quali,BestLap_Sec,IsWetQuali,Circuit,TrackLength_km,Corners,Type,OvertakingDifficulty,PositionDelta,DriverForm,DriverCircuitForm,TeamForm,IsRookieRace,IsNewCircuit
7.0,HUL,27,Alpine,7.0,+1 Lap,0,Other,0,2018,7,7.0,71.916,0,Montréal,4.361,14,Permanent,Easy,0.0,15.333333333333334,,15.333333333333334,0,1
8.0,SAI,55,Alpine,9.0,+1 Lap,0,Other,0,2018,7,9.0,72.097,0,Montréal,4.361,14,Permanent,Easy,-1.0,7.333333333333333,,7.333333333333333,0,1
9.0,OCO,31,Aston Martin,8.0,+1 Lap,0,Other,0,2018,7,8.0,72.084,0,Montréal,4.361,14,Permanent,Easy,1.0,13.666666666666666,,13.666666666666666,0,1
10.0,LEC,16,Kick Sauber,13.0,+1 Lap,0,Other,0,2018,7,13.0,72.661,0,Montréal,4.361,14,Permanent,Easy,-3.0,11.333333333333334,,11.333333333333334,0,1
11.0,GAS,10,Racing Bulls,16.0,+1 Lap,0,Other,0,2018,7,16.0,73.047,0,Montréal,4.361,14,Permanent,Easy,-5.0,12.666666666666666,,12.666666666666666,0,1
12.0,GRO,8,Haas F1 Team,20.0,+1 Lap,0,Other,0,2018,7,20.0,84.0575,0,Montréal,4.361,14,Permanent,Easy,-8.0,16.0,,16.0,0,1
13.0,MAG,20,Haas F1 Team,11.0,+1 Lap,0,Other,0,2018,7,11.0,72.606,0,Montréal,4.361,14,Permanent,Easy,2.0,10.666666666666666,,10.666666666666666,0,1
14.0,PER,11,Aston Martin,10.0,+1 Lap,0,Other,0,2018,7,10.0,72.395,0,Montréal,4.361,14,Permanent,Easy,4.0,8.0,,8.0,0,1
15.0,ERI,9,Kick Sauber,19.0,+2 Laps,0,Other,0,2018,7,19.0,74.593,0,Montréal,4.361,14,Permanent,Easy,-4.0,11.666666666666666,,11.666666666666666,0,1
16.0,VAN,2,McLaren,15.0,+2 Laps,0,Other,0,2018,7,15.0,72.865,0,Montréal,4.361,14,Permanent,Easy,1.0,12.666666666666666,,12.666666666666666,0,1
17.0,SIR,35,Williams,18.0,+2 Laps,0,Other,0,2018,7,18.0,73.643,0,Montréal,4.361,14,Permanent,Easy,-1.0,16.666666666666668,,16.666666666666668,0,1
18.0,ALO,14,McLaren,14.0,Exhaust,0,Other,0,2018,7,14.0,72.856,0,Montréal,4.361,14,Permanent,Easy,4.0,11.666666666666666,,11.666666666666666,0,1
19.0,HAR,28,Racing Bulls,12.0,Collision,0,Other,0,2018,7,12.0,72.587,0,Montréal,4.361,14,Permanent,Easy,7.0,13.666666666666666,,13.666666666666666,0,1
20.0,STR,18,Williams,17.0,Collision,0,Other,0,2018,7,17.0,73.59,0,Montréal,4.361,14,Permanent,Easy,3.0,12.0,,12.0,0,1
1.0,HAM,44,Mercedes,1.0,Finished,1,Finished,1,2018,8,1.0,90.029,1,Le Castellet,5.842,15,Permanent,Difficult,0.0,3.0,,3.0,0,1
2.0,VER,33,Red Bull Racing,4.0,Finished,1,Finished,1,2018,8,4.0,90.705,1,Le Castellet,5.842,15,Permanent,Difficult,-2.0,5.0,,5.0,0,1
3.0,RAI,7,Ferrari,6.0,Finished,1,Finished,1,2018,8,6.0,90.772,1,Le Castellet,5.842,15,Permanent,Difficult,-3.0,9.0,,9.0,0,1
4.0,RIC,3,Red Bull Racing,5.0,Finished,1,Finished,1,2018,8,5.0,90.895,1,Le Castellet,5.842,15,Permanent,Difficult,-1.0,3.3333333333333335,,3.3333333333333335,0,1
